,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
11005,ncmd,1-16-cv-01070-LCB-JEP,b'5367b2201342953bb042be22',09/19/2016,1,74
11006,ncmd,1-16-cv-00985-LCB-LPA,b'5367b2201342953bb042be22',07/28/2016,1,74
11007,ncmd,1-16-cv-00545-NCT-JEP,b'193098a87e3cb06c3d37c7d6',07/14/2016,1,12
11008,ncmd,1-16-cv-00935-TDS-JLW,b'90740c179c87bc6590f4130b',08/04/2016,1,55
11009,ncmd,1-16-cv-01144-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',09/19/2016,1,52
11010,ncmd,1-16-cv-01099-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',09/12/2016,1,52
11011,ncmd,1-16-cv-00429-TDS-LPA,b'90740c179c87bc6590f4130b',05/26/2016,1,55
11012,ncmd,1-16-cv-00671-TDS-LPA,b'90740c179c87bc6590f4130b',06/23/2016,1,55
11013,ncmd,1-16-cv-00364-LCB-JEP,b'5367b2201342953bb042be22',10/31/2016,1,74
11014,ncmd,1-16-cv-00195-CCE-JLW,b'5b5c461201c4b5d552ec4f8f',03/21/2016,1,52
11015,ncmd,1-16-cv-01275-WO-LPA,b'c4be5d332ba195269e89b2c3',11/04/2016,1,31
11016,alsd,1-16-cv-00494-N,b'561a5b0bd4dbf5afadbc5648',10/12/2016,1,19
11017,alsd,1-16-cv-00592-WS-N,b'd66fc1665d1e1899fde85ae1',12/30/2016,1,14
11018,alsd,1-16-cv-00016-KD-N,b'a4f34c6cac60348ca3c99227',02/17/2016,1,3
11019,alsd,1-16-cr-00222-KD-B,b'a4f34c6cac60348ca3c99227',06/26/2017,1,3
11020,alsd,1-16-cv-00476-TFM-MU,b'a9aee36bb467af56fe212565',09/20/2016,1,14
11021,alsd,1-16-cv-00445-WS-MU,b'd66fc1665d1e1899fde85ae1',10/03/2016,1,14
11022,alsd,1-16-cv-00421-CB-N,b'fb958bac50f8e8f529c5dcaf',08/30/2016,-999,0
11023,alsd,1-16-cv-00215-WS-MU,b'd66fc1665d1e1899fde85ae1',05/23/2016,1,14
11024,alsd,1-16-cr-00212-WS-N,b'd66fc1665d1e1899fde85ae1',11/08/2018,0,14
11025,alsd,1-16-cv-00557-WS-N,b'd66fc1665d1e1899fde85ae1',11/29/2016,1,14
11026,alsd,1-16-cr-00091-CG-N,b'f573cd8ae8b4deaefde5caee',09/08/2017,0,3
