,jurisdiction,case_id,hash_name,entry_date,resolution,total_decisions
17081,ared,4-16-cv-00784-JLH,b'43c03b31e6f7b2d5d40033a8',12/20/2016,-10,36
17082,ared,4-16-cv-00394-SWW,b'8123df5633223d0e3238a609',08/30/2016,1,19
17083,ared,5-16-cv-00153-BSM,b'41743e2a6865ed065170fb10',05/25/2016,1,43
17084,ared,1-16-cv-00164-JLH,b'43c03b31e6f7b2d5d40033a8',01/20/2017,-999,36
17085,ared,4-16-cv-00392-JTK,b'0150d65753172cf27fdb0148',07/05/2016,1,46
17086,ared,4-16-cv-00289-BRW,b'20c943dd1aac3910a79ac5cd',05/25/2016,1,29
17087,ared,4-16-cv-00515-BSM,b'41743e2a6865ed065170fb10',07/19/2016,1,43
17088,ared,5-16-cv-00369-JM-BD,b'b09e8410dd85b252a00ab05e',12/14/2016,1,45
17089,ared,1-16-cv-00077-JJV,b'0e1a7a1e44433445f536fff0',07/11/2016,1,54
17090,ared,4-16-cv-00829-JM,b'b09e8410dd85b252a00ab05e',11/14/2016,1,45
17091,ared,1-16-cv-00043-JJV,b'0e1a7a1e44433445f536fff0',05/03/2016,1,54
17092,ared,5-16-cv-00380-JLH,b'43c03b31e6f7b2d5d40033a8',12/21/2016,1,36
17093,ared,4-16-cr-00250-JM,b'b09e8410dd85b252a00ab05e',02/11/2019,1,45
17094,ared,4-16-cv-00018-BD,b'cf75d119883dccb3386aa5d9',01/25/2016,1,47
17095,ared,3-16-cv-00281-JJV,b'0e1a7a1e44433445f536fff0',10/12/2016,1,54
17096,ared,4-16-cv-00109-JM,b'b09e8410dd85b252a00ab05e',02/29/2016,1,45
17097,ared,3-16-cv-00126-JTR,b'a6bc07fcc497c5e72a162912',07/08/2016,1,46
17098,ared,1-16-cv-00137-BRW,b'20c943dd1aac3910a79ac5cd',09/21/2016,-1,29
17099,ared,1-16-cv-00051-JTR,b'a6bc07fcc497c5e72a162912',05/16/2016,1,46
