ucid,court,year,cid,docket_index,entry_date,original_text,full_span_start,full_span_end,extracted_pre_5,extracted_entity,extracted_post_5,Ent_span_start,Ent_span_end,docket_source,Entity_Extraction_Method
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,32,09/12/2017,"Judge Jodi F Jayne, Magistrate Judge T Lane Wilson no longer assigned to case, changing",201,288,"Judge Jodi F Jayne, Magistrate Judge",T Lane Wilson,"no longer assigned to case, changing",238,251,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,35,09/28/2017,MINUTE ORDER by Chief Judge Gregory K Frizzell Counsel for Defendant is directed to provide,0,91,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Counsel for Defendant is directed to provide,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,39,10/05/2017,ORDER by Chief Judge Gregory K Frizzell ; setting/resetting deadline(s,0,70,ORDER by Chief Judge,Gregory K Frizzell,; setting/resetting deadline(s,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,42,11/08/2017,MINUTE ORDER by Chief Judge Gregory K Frizzell granting Plaintiff leave to file brief in,0,88,MINUTE ORDER by Chief Judge,Gregory K Frizzell,granting Plaintiff leave to file brief in,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,46,11/13/2017,MINUTE ORDER by Chief Judge Gregory K Frizzell Counsel for Plaintiff is directed to provide,0,91,MINUTE ORDER by Chief Judge,Gregory K Frizzell,Counsel for Plaintiff is directed to provide,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,47,11/13/2017,ORDER by Chief Judge Gregory K Frizzell ; granting 43 Motion to Seal Document,0,77,ORDER by Chief Judge,Gregory K Frizzell,; granting 43 Motion to Seal Document,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,49,11/22/2017,MINUTE ORDER by Chief Judge Gregory K Frizzell ; granting 48 Motion for Leave to,0,80,MINUTE ORDER by Chief Judge,Gregory K Frizzell,; granting 48 Motion for Leave to,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,52,01/04/2018,ORDER by Chief Judge Gregory K Frizzell ; granting in part and denying in,0,73,ORDER by Chief Judge,Gregory K Frizzell,; granting in part and denying in,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,53,01/04/2018,MINUTE ORDER by Chief Judge Gregory K Frizzell setting hearing on Plaintiff's Motion in,0,87,MINUTE ORDER by Chief Judge,Gregory K Frizzell,setting hearing on Plaintiff's Motion in,28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,53,01/04/2018,01:30 PM before Chief Judge Gregory K Frizzell) (Re: 36 MOTION in,259,324,01:30 PM before Chief Judge,Gregory K Frizzell,) (Re: 36 MOTION in,287,305,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,54,01/11/2018,of Proceedings - held before Chief Judge Gregory K Frizzell: Motion Hearing held on 1/,8,94,of Proceedings - held before Chief Judge,Gregory K Frizzell,: Motion Hearing held on 1/,49,67,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,56,01/17/2018,ORDER by Chief Judge Gregory K Frizzell ; denying 55 Motion to Reconsider (,0,75,ORDER by Chief Judge,Gregory K Frizzell,; denying 55 Motion to Reconsider (,21,39,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,61,01/24/2018,"MINUTE ORDER by Chief Judge Gregory K Frizzell, referring motion(s) to",0,70,MINUTE ORDER by Chief Judge,Gregory K Frizzell,", referring motion(s) to",28,46,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,61,01/24/2018,motion(s) to Magistrate Judge Jayne (Re: 59 MOTION to Strike,58,118,motion(s) to Magistrate Judge,Jayne,(Re: 59 MOTION to Strike,88,93,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,64,01/24/2018,(s) Referred to Magistrate Judge Jayne (Re: 63 MOTION for Sanctions,9,76,(s) Referred to Magistrate Judge,Jayne,(Re: 63 MOTION for Sanctions,42,47,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,66,01/25/2018,MINUTE ORDER by Magistrate Judge Jodi F Jayne Defendant is ordered to file an expedited,0,87,MINUTE ORDER by Magistrate Judge,Jodi F Jayne,Defendant is ordered to file an expedited,33,45,line_entry,SPACY JNLP2
oknd;;4:16-cv-00677,oknd,2016,4:16-cv-00677,70,01/31/2018,ORDER by Magistrate Judge Jodi F Jayne Defendant's Motion to Strike (ECF,0,72,ORDER by Magistrate Judge,Jodi F Jayne,Defendant's Motion to Strike (ECF,26,38,line_entry,SPACY JNLP2
